"","RT01","RT02","RT03","RT04","RT05","RT06","RT07","RT08","RT09","RT10","RT11","RT12","RT13","RT14","RT15","RT16","RT17","RT18","RT19","RT20","RT21","RT22","RT23","RT24","RT25","RT26","RT27","RT28","RT29","RT30","RT31","RT32","RT33","RT34","RT35","RT36","RT37","RT38","RT39","RT40","RT41","RT42","RT43","RT44","RT45","RT46","RT47","RT48"
"hsa-miR-16-5p",55,47,23,92,37,45,337,84,5,62,22,34,32,6,8,0,107,4,40,11,7,1,19,35,332,4,26,41,30,11,34,1,79,109,33,32,46,0,89,63,24,17,29,21,53,9,211,66
"hsa-miR-17-5p",1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,1,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0
"hsa-miR-181a-5p",29,140,69,177,83,185,251,151,15,87,95,26,45,18,29,0,262,28,94,22,24,11,25,53,356,21,42,71,37,24,86,7,94,248,92,60,31,13,86,87,28,23,29,54,79,17,123,64
"hsa-miR-182-5p",14,14,9,53,9,32,84,43,1,39,7,3,8,6,6,0,28,5,9,9,5,2,4,4,38,0,6,14,3,5,14,2,15,50,4,6,2,0,18,9,8,1,8,10,16,3,85,8
"hsa-miR-183-5p",8,1,0,4,0,1,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,4,2,0,2,0,0,4,0,0,0,0,1,1,0,6,0
"hsa-miR-184",2,0,0,1,0,9,34,10,0,0,1,0,0,0,0,0,0,0,2,1,0,3,0,1,0,3,0,1,0,2,0,0,0,0,4,0,0,0,2,1,0,0,1,0,0,1,6,0
"hsa-miR-185-5p",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-186-5p",5,10,9,21,15,22,47,21,1,19,9,2,6,2,6,0,16,2,8,2,3,1,3,3,94,3,4,5,7,2,10,1,22,50,15,18,4,1,12,15,3,6,13,8,16,5,31,13
"hsa-miR-191-5p",278,77,158,181,221,968,133,102,79,127,90,21,41,61,180,0,201,129,42,39,18,169,76,211,2553,118,76,91,64,20,497,102,158,269,688,1577,26,36,87,90,103,271,86,48,170,36,219,108
"hsa-miR-192-5p",12,1,5,16,7,16,51,18,2,4,7,7,4,0,1,0,11,1,4,5,1,1,4,3,20,4,10,14,6,4,6,1,21,37,11,8,3,1,16,10,0,8,5,3,9,7,30,2
